"Index","Data"
2019-02-01,1237018.37
2019-03-01,1367335.14
2019-04-01,834366.52
2019-05-01,691066.44
2019-06-01,1066148.05
2019-07-01,779930.57
2019-08-01,791258.19
2019-09-01,1021360.83
2019-10-01,891340.69
2019-11-01,1152909.51
2019-12-01,1050560.83
2020-01-01,1185644.96
2020-02-01,1076824.67
2020-03-01,1345110.18
2020-04-01,1250171.58
2020-05-01,1279017.24
2020-06-01,1440106.47
2020-07-01,1110409.53
2020-08-01,1175960.64
2020-09-01,896539.24
2020-10-01,1542473.57
2020-11-01,1029780.8
2020-12-01,1294042.31
2021-01-01,1438571.28
2021-02-01,1217495.30999999
2021-03-01,1246975.11999999
2021-04-01,1284453.73
2021-05-01,1306453.44
2021-06-01,1285471.93584976
2021-07-01,1508160.50617707
2021-08-01,1345051.59369101
2021-09-01,1210992.60711461
2021-10-01,1332324.28420517
2021-11-01,1388194.81443374
2021-12-01,1768186.14781374
2022-01-01,1692124.70524742
2022-02-01,1474497.08526784
2022-03-01,1775966.24393449
2022-04-01,1589033.40767851
2022-05-01,1668884.43237436
2022-06-01,1371092.60531692
2022-07-01,1538614.30679778
2022-08-01,1407672.51556354
2022-09-01,1262312.07797954
2022-10-01,1432887.48629772
2022-11-01,1451724.51219109
2022-12-01,1806222.16517825
2023-01-01,1765222.62812596
2023-02-01,1549553.02200275
2023-03-01,1843241.16079362
2023-04-01,1654573.81363291
2023-05-01,1723651.97276218
2023-06-01,1450027.98737706
2023-07-01,1593240.60331821
2023-08-01,1472205.04991797
2023-09-01,1316666.81931199
2023-10-01,1511416.25336157
2023-11-01,1516635.86510981
2023-12-01,1872200.87831101
2024-01-01,1842673.33866934
2024-02-01,1621599.2795831
2024-03-01,1920801.72943418
2024-04-01,1726094.34145587
2024-05-01,1793211.87180757
