"Index","Data"
2019-01-01,596682.75
2019-02-01,559109.22
2019-03-01,645266.77
2019-04-01,657570.18
2019-05-01,666748.63
2019-06-01,641136.56
2019-07-01,650150.78
2019-08-01,668783.39
2019-09-01,616079.3
2019-10-01,669008.77
2019-11-01,643070.35
2019-12-01,706020.77
2020-01-01,640011.73
2020-02-01,652028
2020-03-01,573586.73
2020-04-01,458420.85
2020-05-01,478771.83
2020-06-01,516933.6
2020-07-01,567052.5
2020-08-01,647375.58
2020-09-01,661665.58
2020-10-01,680362.07
2020-11-01,652630.16
2020-12-01,768193.03
2021-01-01,685942.97
2021-02-01,669312.88
2021-03-01,773453.52
2021-04-01,688389.03
2021-05-01,707336.38
2021-06-01,692598.71
2021-07-01,740193.13
2021-08-01,668221.54
2021-09-01,670418.8
2021-10-01,718676.32
2021-11-01,708246.27
2021-12-01,821882.15
2022-01-01,684004.37
2022-02-01,660943.67
2022-03-01,703127.897
2022-04-01,807440.101
2022-05-01,796812.389999999
2022-06-01,915704.125523404
2022-07-01,946286.016212473
2022-08-01,952496.140778428
2022-09-01,959036.719401375
2022-10-01,987739.088655034
2022-11-01,970605.306848463
2022-12-01,1068377.41629908
2023-01-01,975499.208579006
2023-02-01,958052.128749577
2023-03-01,1021319.55032852
2023-04-01,1026812.41559246
2023-05-01,1031432.95808653
2023-06-01,1010045.17882627
2023-07-01,1041419.37496311
2023-08-01,1010586.70268897
2023-09-01,1013691.64024917
2023-10-01,1045127.94814411
2023-11-01,1034944.16303254
2023-12-01,1115746.2116579
2024-01-01,1025264.53313802
2024-02-01,1008878.24465465
2024-03-01,1048400.02513138
2024-04-01,1096522.8518922
2024-05-01,1093449.64802052
2024-06-01,1070601.33008986
2024-07-01,1091421.01070415
2024-08-01,1083869.63423468
2024-09-01,1087155.17876118
2024-10-01,1107131.1577656
2024-11-01,1097957.78631497
2024-12-01,1156604.57290973
2025-01-01,1096586.36273454
2025-02-01,1085269.19781201
2025-03-01,1119656.58016768
2025-04-01,1136620.9420944
2025-05-01,1137244.81245201
