"Index","Data"
2021-06-01,1128077.11
2021-07-01,1197398.4
2021-08-01,1104625.93
2021-09-01,1102655.34
2021-10-01,1166983.39
2021-11-01,1223817.11
2021-12-01,1380064.62
2022-01-01,1280998.781
2022-02-01,1266035.92499999
2022-03-01,1335376.893
2022-04-01,1284434.74199999
2022-05-01,1110348.02
2022-06-01,1261734.3805803
2022-07-01,1300334.13555262
2022-08-01,1309041.32799022
2022-09-01,1237983.99955967
2022-10-01,1345819.84596387
2022-11-01,1443345.33848469
2022-12-01,1568281.38979207
2023-01-01,1554541.86232204
2023-02-01,1538802.37904813
2023-03-01,1675451.73928461
2023-04-01,1517314.68275409
2023-05-01,1431892.4020531
2023-06-01,1297209.20798748
2023-07-01,1337332.0787507
2023-08-01,1347479.80567806
2023-09-01,1275482.66186502
2023-10-01,1388359.72043443
2023-11-01,1483449.61957896
2023-12-01,1613079.77179817
2024-01-01,1603409.45181201
2024-02-01,1586547.68890189
2024-03-01,1748484.1249043
2024-04-01,1580148.51659652
2024-05-01,1504792.73443112
2024-06-01,1359622.19935701
2024-07-01,1399587.1355036
2024-08-01,1403043.77555465
2024-09-01,1324004.05670551
2024-10-01,1437118.99140035
2024-11-01,1536635.390196
2024-12-01,1668327.20032544
2025-01-01,1654262.5976686
2025-02-01,1636265.06096941
2025-03-01,1789661.92974279
2025-04-01,1618822.02437224
2025-05-01,1533022.24144628
