"Index","Data"
2000-01-01,177776.5
2000-02-01,123115.99
2000-03-01,161726.42
2000-04-01,127338.74
2000-05-01,168730.19
2000-06-01,152899.09
2000-07-01,136299.13
2000-08-01,139365.07
2000-09-01,233643.75
2000-10-01,141550.22
2000-11-01,165841.46
2000-12-01,149217.67
2001-01-01,178585.93
2001-02-01,144447.25
2001-03-01,104673.64
2001-04-01,190339
2001-05-01,194830.1
2001-06-01,137050.8
2001-07-01,222408
2001-08-01,143795
2001-09-01,156956.9
2001-10-01,195426.8
2001-11-01,153185.7
2001-12-01,167596.71
2002-01-01,228269.5
2002-02-01,214490.7
2002-03-01,161257.48
2002-04-01,189824.893
2002-05-01,269981.86
2002-06-01,182254.23
2002-07-01,133668.2
2002-08-01,169903.86
2002-09-01,177217.53
2002-10-01,181668.026
2002-11-01,205624.08
2002-12-01,161477.73
2003-01-01,173427.23
2003-02-01,147939.23
2003-03-01,275539.38
2003-04-01,245156.34
2003-05-01,178387.8
2003-06-01,133341
2003-07-01,152075.75
2003-08-01,208592.85
2003-09-01,218499.24
2003-10-01,201907.67
2003-11-01,215838.32
2003-12-01,227094.71
2004-01-01,202374.33
2004-02-01,178104.72
2004-03-01,217667.69
2004-04-01,234492.03
2004-05-01,192734.4
2004-06-01,243343.68
2004-07-01,175946.3
2004-08-01,173810.38
2004-09-01,81015.3
2004-10-01,145325.65
2004-11-01,266018.37
2004-12-01,107374
2005-01-01,348503.85
2005-02-01,145048.2
2005-03-01,285783.25
2005-04-01,238824.61
2005-05-01,134212.3
2005-06-01,211562.74
2005-07-01,180942.18
2005-08-01,147245.49
2005-09-01,366193.77
2005-10-01,153997.35
2005-11-01,171327.01
2005-12-01,234319.3
2006-01-01,289550.59
2006-02-01,299077.04
2006-03-01,326317.75
2006-04-01,94844.9
2006-05-01,238404.83
2006-06-01,170064.98
2006-07-01,227660.47
2006-08-01,351306.27
2006-09-01,181015.83
2006-10-01,312120.18
2006-11-01,289282.55
2006-12-01,222108.35
2007-01-01,107885.65
2007-02-01,234830.1
2007-03-01,241800.33
2007-04-01,271554.27
2007-05-01,242628.16
2007-06-01,177838.7
2007-07-01,232129.2
2007-08-01,138376.72
2007-09-01,290621.26
2007-10-01,358036.44
2007-11-01,170365.32
2007-12-01,238398.92
2008-01-01,202484.534761905
2008-02-01,588346.36
2008-03-01,298459.25
2008-04-01,182218.96
2008-05-01,377337.48
2008-06-01,363676.29
2008-07-01,363911.51
2008-08-01,210495.68
2008-09-01,161783.68
2008-10-01,375067.23
2008-11-01,201213.1
2008-12-01,291525.48
2009-01-01,173918.35
2009-02-01,336005.72
2009-03-01,157798.77
2009-04-01,433108.23
2009-05-01,279926.95
2009-06-01,281834.46
2009-07-01,241994.24
2009-08-01,282509.24
2009-09-01,208796.02
2009-10-01,392100.62
2009-11-01,139547.73
2009-12-01,430857.95
2010-01-01,253700.82
2010-02-01,343582.85
2010-03-01,291087.16
2010-04-01,326003.71
2010-05-01,326566.61
2010-06-01,230990.13
2010-07-01,188581.4
2010-08-01,201844.49
2010-09-01,260669.22
2010-10-01,239711.91
2010-11-01,237803.48
2010-12-01,367820.54
2011-01-01,318283.44
2011-02-01,253583.96
2011-03-01,255492.16
2011-04-01,189948.79
2011-05-01,241786.29
2011-06-01,320566.69
2011-07-01,142232.47
2011-08-01,263677.23
2011-09-01,201347.56
2011-10-01,374301.51
2011-11-01,197398.8
2011-12-01,287980.58
2012-01-01,396416.84
2012-02-01,235502.58
2012-03-01,439386.62
2012-04-01,274680.65
2012-05-01,281823.2
2012-06-01,293808.6
2012-07-01,259025.83
2012-08-01,221433.2
2012-09-01,300794.99
2012-10-01,281168.85
2012-11-01,390941.15
2012-12-01,210096.78
2013-01-01,487880.79
2013-02-01,312423.86
2013-03-01,472437.63
2013-04-01,207049
2013-05-01,417767.24
2013-06-01,247114.99
2013-07-01,454196.13
2013-08-01,305285.53
2013-09-01,378741.56
2013-10-01,256340.49
2013-11-01,372809.93
2013-12-01,491072.11
2014-01-01,371420.59
2014-02-01,548714.53
2014-03-01,453536.19
2014-04-01,537064.59
2014-05-01,534049.28
2014-06-01,394824.33
2014-07-01,519374.15
2014-08-01,328552.07
2014-09-01,485906.49
2014-10-01,432666.75
2014-11-01,574547.76
2014-12-01,319329.71
2015-01-01,546876.54
2015-02-01,424074.81
2015-03-01,508542.18
2015-04-01,527083.64
2015-05-01,528347.81
2015-06-01,397477.4
2015-07-01,526652.73
2015-08-01,512202.57
2015-09-01,567786.57
2015-10-01,455850.76
2015-11-01,476784.16
2015-12-01,473659.59
2016-01-01,527564.9
2016-02-01,469140.06
2016-03-01,608144.98
2016-04-01,681303.11
2016-05-01,386088.18
2016-06-01,519389.66
2016-07-01,433026.08
2016-08-01,592103.31
2016-09-01,316435.22
2016-10-01,574073.61
2016-11-01,434963.36
2016-12-01,679441.47
2017-01-01,571858.06
2017-02-01,509366.1
2017-03-01,563899.06
2017-04-01,510830
2017-05-01,580825.11
2017-06-01,463620.61
2017-07-01,543333.77
2017-08-01,663834.04
2017-09-01,454442.87
2017-10-01,726044.35
2017-11-01,534084.49
2017-12-01,535639.97
2018-01-01,702923.37
2018-02-01,469437.28
2018-03-01,678145.38
2018-04-01,867761.34
